Year,Total,Corn,,Decade,Total,Corn,% of Total
1937,144,,,1930,317,0,0.0000%
1938,154,,,1940,39565,8,0.0202%
1939,19,,,1950,6326,0,0.0000%
1940,372,,,1960,6333,0,0.0000%
1941,2289,,,1970,8260,0,0.0000%
1942,27363,,,1980,16362,1,0.0061%
1943,519,8,,1990,18531,1,0.0054%
1944,1878,,,2000,18282,2,0.0109%
1945,1106,,,2010,23606,16,0.0678%
1946,481,,,2020,1830,0,0.0000%
1947,890,,,,,,
1948,1979,,,,139412,28,0.0201%
1949,2688,,,,,,
1950,1830,,,,,,
1951,797,,,,,,
1952,521,,,,,,
1953,346,,,,,,
1954,194,,,,,,
1955,220,,,,,,
1956,1936,,,,,,
1957,268,,,,,,
1958,126,,,,,,
1959,88,,,,,,
1960,361,,,,,,
1961,13,,,,,,
1962,674,,,,,,
1963,3175,,,,,,
1964,382,,,,,,
1965,50,,,,,,
1966,125,,,,,,
1967,257,,,,,,
1968,980,,,,,,
1969,316,,,,,,
1970,704,,,,,,
1971,468,,,,,,
1972,710,,,,,,
1973,1085,,,,,,
1974,583,,,,,,
1975,540,,,,,,
1976,363,,,,,,
1977,347,,,,,,
1978,597,,,,,,
1979,2863,,,,,,
1980,1006,,,,,,
1981,266,,,,,,
1982,1655,,,,,,
1983,2860,,,,,,
1984,1678,,,,,,
1985,3029,,,,,,
1986,717,,,,,,
1987,658,,,,,,
1988,368,1,,,,,
1989,4125,,,,,,
1990,2922,,,,,,
1991,580,1,,,,,
1992,378,,,,,,
1993,1758,,,,,,
1994,1913,,,,,,
1995,1738,,,,,,
1996,764,,,,,,
1997,1627,,,,,,
1998,1172,,,,,,
1999,5679,,,,,,
2000,2072,,,,,,
2001,1660,,,,,,
2002,507,,,,,,
2003,1383,,,,,,
2004,1152,,,,,,
2005,1475,,,,,,
2006,1206,1,,,,,
2007,6503,,,,,,
2008,900,1,,,,,
2009,1424,,,,,,
2010,1026,,,,,,
2011,2075,,,,,,
2012,1323,,,,,,
2013,2481,,,,,,
2014,9024,,,,,,
2015,2068,11,,,,,
2016,1519,,,,,,
2017,2287,,,,,,
2018,922,5,,,,,
2019,881,,,,,,
2020,674,,,,,,
2021,1156,,,,,,
2022,,,,,,,
